id,code,name,createdAt,updatedAt
1,AK,Alaska,"2021-08-01 16:23:51","2021-08-01 16:23:51"
2,AL,Alabama,"2021-08-01 16:23:51","2021-08-01 16:23:51"
3,HI,Hawaii,"2021-08-01 16:23:51","2021-08-01 16:23:51"
4,AZ,Arizona,"2021-08-01 16:23:51","2021-08-01 16:23:51"
5,CA,California,"2021-08-01 16:23:51","2021-08-01 16:23:51"
6,AR,Arkansas,"2021-08-01 16:23:51","2021-08-01 16:23:51"
7,ID,Idaho,"2021-08-01 16:23:51","2021-08-01 16:23:51"
8,GA,Georgia,"2021-08-01 16:23:51","2021-08-01 16:23:51"
9,CO,Colorado,"2021-08-01 16:23:51","2021-08-01 16:23:51"
10,DE,Delaware,"2021-08-01 16:23:51","2021-08-01 16:23:51"
11,CT,Connecticut,"2021-08-01 16:23:51","2021-08-01 16:23:51"
12,FL,Florida,"2021-08-01 16:23:51","2021-08-01 16:23:51"
13,IL,Illinois,"2021-08-01 16:23:51","2021-08-01 16:23:51"
14,IA,Iowa,"2021-08-01 16:23:51","2021-08-01 16:23:51"
15,IN,Indiana,"2021-08-01 16:23:51","2021-08-01 16:23:51"
16,KS,Kansas,"2021-08-01 16:23:51","2021-08-01 16:23:51"
17,KY,Kentucky,"2021-08-01 16:23:51","2021-08-01 16:23:51"
18,LA,Louisiana,"2021-08-01 16:23:51","2021-08-01 16:23:51"
19,ME,Maine,"2021-08-01 16:23:51","2021-08-01 16:23:51"
20,MD,Maryland,"2021-08-01 16:23:51","2021-08-01 16:23:51"
21,MA,Massachusetts,"2021-08-01 16:23:51","2021-08-01 16:23:51"
22,MI,Michigan,"2021-08-01 16:23:51","2021-08-01 16:23:51"
23,MN,Minnesota,"2021-08-01 16:23:51","2021-08-01 16:23:51"
24,MS,Mississippi,"2021-08-01 16:23:51","2021-08-01 16:23:51"
25,MO,Missouri,"2021-08-01 16:23:51","2021-08-01 16:23:51"
26,NE,Nebraska,"2021-08-01 16:23:51","2021-08-01 16:23:51"
27,MT,Montana,"2021-08-01 16:23:51","2021-08-01 16:23:51"
28,NV,Nevada,"2021-08-01 16:23:51","2021-08-01 16:23:51"
29,NH,New,"2021-08-01 16:23:51","2021-08-01 16:23:51"
30,NJ,New,"2021-08-01 16:23:51","2021-08-01 16:23:51"
31,NM,New,"2021-08-01 16:23:51","2021-08-01 16:23:51"
32,NY,New,"2021-08-01 16:23:51","2021-08-01 16:23:51"
33,NC,North,"2021-08-01 16:23:51","2021-08-01 16:23:51"
34,ND,North,"2021-08-01 16:23:51","2021-08-01 16:23:51"
35,OK,Oklahoma,"2021-08-01 16:23:51","2021-08-01 16:23:51"
36,OH,Ohio,"2021-08-01 16:23:51","2021-08-01 16:23:51"
37,OR,Oregon,"2021-08-01 16:23:51","2021-08-01 16:23:51"
38,PA,Pennsylvania,"2021-08-01 16:23:51","2021-08-01 16:23:51"
39,RI,Rhode,"2021-08-01 16:23:51","2021-08-01 16:23:51"
40,SC,South,"2021-08-01 16:23:51","2021-08-01 16:23:51"
41,SD,South,"2021-08-01 16:23:51","2021-08-01 16:23:51"
42,TN,Tennessee,"2021-08-01 16:23:51","2021-08-01 16:23:51"
43,TX,Texas,"2021-08-01 16:23:51","2021-08-01 16:23:51"
44,UT,Utah,"2021-08-01 16:23:51","2021-08-01 16:23:51"
45,VT,Vermont,"2021-08-01 16:23:51","2021-08-01 16:23:51"
46,VA,Virginia,"2021-08-01 16:23:51","2021-08-01 16:23:51"
47,WA,Washington,"2021-08-01 16:23:51","2021-08-01 16:23:51"
48,WV,West,"2021-08-01 16:23:51","2021-08-01 16:23:51"
49,WI,Wisconsin,"2021-08-01 16:23:51","2021-08-01 16:23:51"
50,WY,Wyoming,"2021-08-01 16:23:51","2021-08-01 16:23:51"
